id,name,pos
8471233,Travis Zajac,C
8474056,P.K. Subban,D
8475151,Kyle Palmieri,R
8476368,Fredrik Claesson,D
8476923,Damon Severson,D
8476941,Connor Carrick,D
8477038,Nikita Gusev,L
8477355,Will Butcher,D
8477401,John Hayden,C
8477425,Miles Wood,L
8477509,Mirco Mueller,D
8477541,Dakota Mermis,D
8478401,Pavel Zacha,C
8479291,Kevin Rooney,C
8479315,Joey Anderson,R
8479407,Jesper Bratt,L
8479415,Michael McLeod,C
8480002,Nico Hischier,C
8481559,Jack Hughes,C
8470187,Johnny Boychuk,D
8471217,Andrew Ladd,L
8472382,Andy Greene,D
8473463,Leo Komarov,R
8473504,Cal Clutterbuck,R
8473544,Derick Brassard,C
8474066,Thomas Hickey,D
8474573,Josh Bailey,R
8474586,Jordan Eberle,R
8474709,Matt Martin,L
8475181,Nick Leddy,D
8475231,Casey Cizikas,C
8475314,Anders Lee,L
8475754,Brock Nelson,C
8475832,Tom Kuhnhackl,R
8476419,Jean-Gabriel Pageau,C
8476429,Scott Mayfield,D
8476917,Adam Pelech,D
8477506,Ryan Pulock,D
8477527,Ross Johnston,L
8477936,Michael Dal Colle,L
8478038,Devon Toews,D
8478445,Mathew Barzal,C
8478463,Anthony Beauvillier,L
8479526,Otto Koivula,L
8480222,Sebastian Aho,D
8480865,Noah Dobson,D
8474230,Micheal Haley,C
8471686,Marc Staal,D
8474090,Brendan Smith,D
8475184,Chris Kreider,L
8475735,Greg McKegg,C
8475855,Jesper Fast,R
8476396,Steven Fogarty,C
8476458,Ryan Strome,C
8476459,Mika Zibanejad,C
8476858,Phillip Di Giuseppe,L
8476885,Jacob Trouba,D
8476982,Danny O'Regan,C
8477402,Pavel Buchnevich,R
8477950,Tony DeAngelo,D
8477962,Brendan Lemieux,L
8478178,Darren Raddysh,D
8478550,Artemi Panarin,L
8479027,Brandon Crawley,D
8479323,Adam Fox,D
8479324,Ryan Lindgren,D
8479328,Julien Gauthier,R
8479333,Libor Hajek,D
8479353,Brett Howden,C
8479364,Tim Gettinger,L
8479968,Vinni Lettieri,R
8480078,Filip Chytil,C
8480833,Vitali Kravtsov,R
8481554,Kaapo Kakko,R
8477502,Samuel Morin,D
8473485,Chris Stewart,R
8470775,Nate Thompson,C
8471702,Matt Niskanen,D
8473512,Claude Giroux,C
8474027,Justin Braun,D
8474037,James van Riemsdyk,L
8474161,Jakub Voracek,R
8474683,Derek Grant,C
8475752,Tyler Pitlick,C
8475763,Kevin Hayes,C
8476404,Andy Andreoff,C
8476407,Andy Welinski,D
8476461,Sean Couturier,C
8476872,Scott Laughton,C
8476906,Shayne Gostisbehere,D
8477290,Michael Raffl,L
8477462,Robert Hagg,D
8477948,Travis Sanheim,D
8477979,Nicolas Aube-Kubel,R
8478017,Mark Friedman,D
8478067,Oskar Lindblom,L
8478439,Travis Konecny,R
8478500,Ivan Provorov,D
8479026,Philippe Myers,D
8479382,Connor Bunnaman,C
8480028,Morgan Frost,C
8480797,Joel Farabee,L
8481178,Egor Zamula,D
8475760,Nick Bjugstad,C
8478866,Dominik Simon,C
8466139,Patrick Marleau,C
8471215,Evgeni Malkin,C
8471675,Sidney Crosby,C
8471677,Jack Johnson,D
8471724,Kris Letang,D
8471887,Patric Hornqvist,R
8474602,Justin Schultz,D
8475208,Brian Dumoulin,D
8475722,Jason Zucker,L
8475810,Bryan Rust,R
8476927,Teddy Blueger,C
8477244,Chad Ruhwedel,D
8477404,Jake Guentzel,L
8477839,Conor Sheary,L
8477955,Jared McCann,C
8477969,Marcus Pettersson,D
8478043,Sam Lafferty,C
8478074,Anthony Angello,C
8478507,John Marino,D
8478542,Evan Rodrigues,C
8479293,Brandon Tanev,L
8479944,Zach Aston-Reese,C
8480945,Juuso Riikola,D
8476191,Kevan Miller,D
8465009,Zdeno Chara,D
8470638,Patrice Bergeron,C
8471276,David Krejci,C
8473419,Brad Marchand,L
8475186,John Moore,D
8475745,Charlie Coyle,C
8475780,Chris Wagner,R
8475807,Joakim Nordstrom,C
8476374,Sean Kuraly,C
8476792,Torey Krug,D
8476891,Matt Grzelcyk,D
8477365,Connor Clifton,D
8477941,Nick Ritchie,L
8477956,David Pastrnak,R
8478075,Anders Bjork,L
8478131,Ondrej Kase,R
8478415,Jakub Zboril,D
8478443,Brandon Carlo,D
8478468,Jeremy Lauzon,D
8478485,Zach Senyshyn,R
8478498,Jake DeBrusk,L
8479325,Charlie McAvoy,D
8479365,Trent Frederic,C
8480001,Urho Vaakanainen,D
8480021,Jack Studnicka,C
8480901,Karson Kuhlman,C
8480944,Par Lindholm,C
8471743,Vladimir Sobotka,C
8479420,Tage Thompson,R
8471436,Matt Hunwick,D
8473449,Kyle Okposo,R
8473564,Michael Frolik,R
8474190,Wayne Simmonds,R
8475149,Marcus Johansson,L
8475728,Johan Larsson,C
8475784,Jeff Skinner,L
8476525,Colin Miller,D
8476878,Zemgus Girgensons,C
8476918,Jimmy Vesey,L
8476931,Jake McCabe,D
8477499,Rasmus Ristolainen,D
8477508,Curtis Lazar,C
8477933,Sam Reinhart,C
8477986,Brandon Montour,D
8478109,Victor Olofsson,L
8478403,Jack Eichel,C
8480035,Henri Jokiharju,D
8480839,Rasmus Dahlin,D
8480935,Lawrence Pilut,D
8480946,Dominik Kahun,C
8477460,Laurent Dauphin,C
8479990,Josh Brook,D
8470642,Shea Weber,D
8473507,Jeff Petry,D
8474038,Paul Byron,L
8474668,Dale Weise,R
8475193,Tomas Tatar,L
8475279,Ben Chiarot,D
8475738,Jordan Weal,C
8475848,Brendan Gallagher,R
8475968,Alex Belzile,R
8476443,Xavier Ouellet,D
8476469,Joel Armia,R
8476479,Phillip Danault,C
8476948,Charles Hudon,L
8476967,Brett Kulak,D
8477467,Gustav Olofsson,D
8477476,Artturi Lehkonen,L
8477494,Jonathan Drouin,L
8477503,Max Domi,C
8477850,Christian Folin,D
8478133,Jake Evans,C
8478454,Noah Juulsen,D
8479376,Victor Mete,D
8479985,Cale Fleury,D
8480018,Nick Suzuki,C
